rng,-14,-11,-8,-5,-2,1,3,6,8,11,12,15,16,19,22,24,25,26,27
0xec883a,455,455,455,455,455,455,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x8d13dceb,456,456,456,456,456,142,142,142,142,142,142,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xa786da48,235,235,235,235,235,235,235,111,111,111,111,111,111,111,111,111,111,111,111,
0x869d10e1,666,666,666,666,666,631,631,631,631,631,631,631,631,631,631,631,631,631,631,
0x5b0aee06,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,OUT,
0xb6d15cc7,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,
0xea5352f4,254,254,254,254,254,254,254,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x4578da1d,454,454,454,454,454,454,454,123,123,123,123,123,123,123,123,123,123,123,123,
0x7657e492,456,456,456,456,646,646,646,646,123,123,123,123,123,123,123,123,123,123,123,
0x5fcfe63,456,456,456,362,362,OUT,OUT,OUT,OUT,111,111,111,111,111,111,111,111,111,111,
0x85ccaa60,222,222,222,526,526,526,123,123,123,123,123,111,111,111,111,111,111,111,111,
0x7a4dfb19,444,456,456,456,456,432,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x640bb7de,664,664,664,664,664,664,123,111,111,111,111,111,111,111,111,111,111,111,111,
0xbeb71dbf,333,333,333,333,333,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x7fc20c8c,543,543,543,543,543,123,123,111,111,111,111,111,111,111,111,111,111,111,111,
0xc5ba2fd5,444,444,444,444,456,643,643,643,643,643,643,643,643,643,643,OUT,OUT,OUT,OUT,
0xfe9773ea,216,216,216,216,216,216,111,111,111,111,111,111,111,111,111,111,111,111,111,
0x9cc9d6db,666,666,666,666,666,214,214,214,214,214,214,214,214,214,214,214,214,214,214,
0x9c96578,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,
0x7a7af451,536,536,536,536,536,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x2470e4b6,541,541,541,541,541,541,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x48505b7,456,456,456,456,456,624,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x56eb6124,164,164,164,164,164,164,123,111,111,111,111,111,111,111,111,111,111,111,111,
0xffa9848d,555,555,555,555,555,622,622,622,622,622,622,622,622,622,622,622,622,622,622,
0xd39e9642,336,336,336,336,336,336,OUT,111,111,111,111,111,111,111,111,111,111,111,111,
0x655a4653,666,666,666,666,412,412,OUT,123,123,123,123,123,123,123,123,123,123,123,123,
0x200f6b90,456,456,456,456,426,426,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x1ab6dc89,456,456,456,456,361,361,361,361,111,111,111,111,111,111,111,111,111,111,111,
0x7203d48e,333,333,333,523,523,523,523,111,111,111,111,111,111,111,111,111,111,111,111,
0x2a38f4af,444,444,444,444,462,462,462,462,462,462,462,123,123,123,123,123,123,123,123,
0x327b0bc,456,161,161,161,161,161,161,161,161,OUT,OUT,OUT,OUT,OUT,123,123,123,123,123,
0xdd27b845,152,152,152,152,152,152,152,152,152,152,123,123,123,123,123,123,123,123,123,
0x4e6cab9a,456,125,125,125,125,125,125,125,125,125,125,123,123,123,123,123,123,123,123,
0x53aa2ccb,456,452,452,452,452,452,452,452,452,452,452,452,452,452,452,111,111,111,111,
0xa91d1ca8,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,111,111,
0xb21093c1,536,536,536,536,536,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x2659e766,511,511,511,511,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x97accaa7,456,456,456,456,456,456,456,441,441,441,441,441,441,441,441,441,441,441,441,
0x5e7b5b54,555,555,555,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0xc751aafd,555,555,555,555,555,555,555,555,366,123,123,123,123,123,123,123,123,123,123,
0x3c8d13f2,456,456,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,
0xa3516a43,645,645,645,645,645,645,645,645,645,645,645,645,645,645,111,111,111,111,111,
0x8adcd8c0,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,
0xce92f9f9,262,262,262,262,262,262,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
